original_id,original_type,normalized_id,normalized_type,PubMedID
gastrointestinal tract,located_in,gastrointestinal tract,located_in,39384243
toxicity,adverse event outcome,toxicity,adverse event outcome,39384243
mucositis,adverse event occurs in,mucositis,adverse event occurs in,39384243
glucagon like peptide 1 (GLP-1),drug associated with AE,glucagon like peptide 1 (GLP-1),drug associated with AE,39384243
haematopoietic stem cell transplantation (HSCT),may_treat,haematopoietic stem cell transplantation (HSCT),may_treat,39384243
lymphoma,has disease,lymphoma,has disease,39384243
autologous HSCT,may_treat,autologous HSCT,may_treat,39384243
semaglutide,drug associated with AE,semaglutide,drug associated with AE,39384243
perioperative immunotherapy,preferred_label,perioperative immunotherapy,preferred_label,39382658
resectable non small cell lung cancer,preferred_label,resectable non small cell lung cancer,preferred_label,39382658
immune checkpoint inhibitors,preferred_label,immune checkpoint inhibitors,preferred_label,39382658
chemotherapy,preferred_label,chemotherapy,preferred_label,39382658
neoadjuvant,preferred_label,neoadjuvant,preferred_label,39382658
adjuvant,preferred_label,adjuvant,preferred_label,39382658
systematic review,preferred_label,systematic review,preferred_label,39382658
Bayesian network meta-analysis,preferred_label,Bayesian network meta-analysis,preferred_label,39382658
event-free survival,preferred_label,event-free survival,preferred_label,39382658
overall survival,preferred_label,overall survival,preferred_label,39382658
treatment-related adverse events,preferred_label,treatment-related adverse events,preferred_label,39382658
PD-L1,preferred_label,PD-L1,preferred_label,39382658
COVID-19,preferred_label,COVID-19,preferred_label,39377592
PD-1 PD-L1 inhibitor therapy,preferred_label,PD-1 PD-L1 inhibitor therapy,preferred_label,39377592
cancer patients,preferred_label,cancer patients,preferred_label,39377592
immune related adverse events (irAEs),preferred_label,immune related adverse events (irAEs),preferred_label,39377592
axitinib,drug,axitinib,drug,39377544
vascular endothelial growth factor receptors,protein,vascular endothelial growth factor receptors,protein,39377544
vegfrs,protein,vegfrs,protein,39377544
renal cell carcinoma,disease,renal cell carcinoma,disease,39377544
glioblastoma,disease,glioblastoma,disease,39377544
idh wild type gbm,disease,idh wild type gbm,disease,39377544
brain tumor,disease,brain tumor,disease,39377544
glioma stem cells,cell,glioma stem cells,cell,39377544
n acetyl l cysteine,drug,n acetyl l cysteine,drug,39377544
cannabis extract,preferred_label,cannabis extract,preferred_label,39375818
nanoemulsion,preferred_label,nanoemulsion,preferred_label,39375818
9-tetrahydrocannabinol (THC),preferred_label,9-tetrahydrocannabinol (THC),preferred_label,39375818
cannabidiol (CBD),preferred_label,cannabidiol (CBD),preferred_label,39375818
glioblastoma,preferred_label,glioblastoma,preferred_label,39375818
animal model,preferred_label,animal model,preferred_label,39375818
C6 tumor model,preferred_label,C6 tumor model,preferred_label,39375818
rats,preferred_label,rats,preferred_label,39375818
hemocompatibility factors,preferred_label,hemocompatibility factors,preferred_label,39375818
cytotoxicity,preferred_label,cytotoxicity,preferred_label,39375818
MRI,preferred_label,MRI,preferred_label,39375818
tumor volume,preferred_label,tumor volume,preferred_label,39375818
survival time,preferred_label,survival time,preferred_label,39375818
adverse effects,preferred_label,adverse effects,preferred_label,39375818
anlotinib,preferred_label,anlotinib,preferred_label,39375657
docetaxel,preferred_label,docetaxel,preferred_label,39375657
epirubicin,preferred_label,epirubicin,preferred_label,39375657
cyclophosphamide,preferred_label,cyclophosphamide,preferred_label,39375657
locally advanced tnbc,preferred_label,locally advanced tnbc,preferred_label,39375657
neoadjuvant chemotherapy regimen,preferred_label,neoadjuvant chemotherapy regimen,preferred_label,39375657
patients,preferred_label,patients,preferred_label,39375657
systemic treatment,preferred_label,systemic treatment,preferred_label,39375657
surgery,preferred_label,surgery,preferred_label,39375657
therapeutic regimen,preferred_label,therapeutic regimen,preferred_label,39375657
adverse events,preferred_label,adverse events,preferred_label,39375657
neutropenia,preferred_label,neutropenia,preferred_label,39375657
palmar plantar erythrodysesthesia syndrome,preferred_label,palmar plantar erythrodysesthesia syndrome,preferred_label,39375657
antitumor activity,preferred_label,antitumor activity,preferred_label,39375657
metastatic pancreatic ductal adenocarcinoma,class_id,metastatic pancreatic ductal adenocarcinoma,class_id,39369582
pharmacological ascorbate,preferred_label,pharmacological ascorbate,preferred_label,39369582
vitamin c,synonyms,vitamin c,synonyms,39369582
gemcitabine,preferred_label,gemcitabine,preferred_label,39369582
nab paclitaxel,preferred_label,nab paclitaxel,preferred_label,39369582
overall survival,semantic_types,overall survival,semantic_types,39369582
progression free survival,semantic_types,progression free survival,semantic_types,39369582
adverse event incidence,semantic_types,adverse event incidence,semantic_types,39369582
quality of life,semantic_types,quality of life,semantic_types,39369582
patient reported outcomes,semantic_types,patient reported outcomes,semantic_types,39369582
immune checkpoint inhibitors,drug,immune checkpoint inhibitors,drug,39368044
older adults,patient population,older adults,patient population,39368044
immune related adverse events,adverse event,immune related adverse events,adverse event,39368044
ageing population,patient population,ageing population,patient population,39368044
clinical trials,research study,clinical trials,research study,39368044
frailty,clinical characteristic,frailty,clinical characteristic,39368044
corticosteroids,drug,corticosteroids,drug,39368044
immune ageing,biological process,immune ageing,biological process,39368044
biomarkers,measurement,biomarkers,measurement,39368044
real world data,data source,real world data,data source,39368044
geriatric oncology population,patient population,geriatric oncology population,patient population,39368044
anaplastic meningiomas,class_id,anaplastic meningiomas,class_id,39358739
who grade 3 tumors,preferred_label,who grade 3 tumors,preferred_label,39358739
recurrent anaplastic meningioma,preferred_label,recurrent anaplastic meningioma,preferred_label,39358739
surgery,preferred_label,surgery,preferred_label,39358739
radiation,preferred_label,radiation,preferred_label,39358739
local control,preferred_label,local control,preferred_label,39358739
progression-free survival,preferred_label,progression-free survival,preferred_label,39358739
treatment-related adverse events,preferred_label,treatment-related adverse events,preferred_label,39358739
bevacizumab,preferred_label,bevacizumab,preferred_label,39358739
radiation necrosis,preferred_label,radiation necrosis,preferred_label,39358739
cdkn2a homozygote deletion,preferred_label,cdkn2a homozygote deletion,preferred_label,39358739
risk of local failure,preferred_label,risk of local failure,preferred_label,39358739
symptomatic radiation necrosis,preferred_label,symptomatic radiation necrosis,preferred_label,39358739
re-irradiation,preferred_label,re-irradiation,preferred_label,39358739
toxicity,preferred_label,toxicity,preferred_label,39358739
individualized treatment approaches,preferred_label,individualized treatment approaches,preferred_label,39358739
further research,preferred_label,further research,preferred_label,39358739
management strategies,preferred_label,management strategies,preferred_label,39358739
challenging disease,preferred_label,challenging disease,preferred_label,39358739
advanced intrahepatic cholangiocarcinoma,class_id,advanced intrahepatic cholangiocarcinoma,class_id,39358645
lenvatinib plus toripalimab,preferred_label,lenvatinib plus toripalimab,preferred_label,39358645
pd 1 antibody,synonyms,pd 1 antibody,synonyms,39358645
chemo free therapy,semantic_types,chemo free therapy,semantic_types,39358645
overall survival,preferred_label,overall survival,preferred_label,39358645
progression free survival,preferred_label,progression free survival,preferred_label,39358645
objective response rate,preferred_label,objective response rate,preferred_label,39358645
disease control rate,preferred_label,disease control rate,preferred_label,39358645
adverse events,preferred_label,adverse events,preferred_label,39358645
baseline ca19 9 levels,preferred_label,baseline ca19 9 levels,preferred_label,39358645
idh1 mutations,preferred_label,idh1 mutations,preferred_label,39358645
akt,class_id,akt,class_id,39353238
cell survival,preferred_label,cell survival,preferred_label,39353238
proliferation,preferred_label,proliferation,preferred_label,39353238
metabolism,preferred_label,metabolism,preferred_label,39353238
small molecule akt inhibitors,preferred_label,small molecule akt inhibitors,preferred_label,39353238
cancer,preferred_label,cancer,preferred_label,39353238
inflammatory diseases,preferred_label,inflammatory diseases,preferred_label,39353238
atp competitive and allosteric modulators,preferred_label,atp competitive and allosteric modulators,preferred_label,39353238
preclinical and clinical development,preferred_label,preclinical and clinical development,preferred_label,39353238
specificity,preferred_label,specificity,preferred_label,39353238
bioavailability,preferred_label,bioavailability,preferred_label,39353238
toxicity,preferred_label,toxicity,preferred_label,39353238
pharmacokinetic properties,preferred_label,pharmacokinetic properties,preferred_label,39353238
efficacy,preferred_label,efficacy,preferred_label,39353238
safety profile,preferred_label,safety profile,preferred_label,39353238
therapeutic window,preferred_label,therapeutic window,preferred_label,39353238
dosing,preferred_label,dosing,preferred_label,39353238
adverse effects,preferred_label,adverse effects,preferred_label,39353238
cisplatin plus gemcitabine,drug,cisplatin plus gemcitabine,drug,39353216
nivolumab plus lenvatinib,drug combination,nivolumab plus lenvatinib,drug combination,39353216
advanced biliary tract cancer,disease,advanced biliary tract cancer,disease,39353216
myocarditis,adverse event,myocarditis,adverse event,39353216
hypertension,adverse event,hypertension,adverse event,39353216
biliary tract infection,adverse event,biliary tract infection,adverse event,39353216
rash,adverse event,rash,adverse event,39353216
hypothyroidism,adverse event,hypothyroidism,adverse event,39353216
melanoma,preferred_label,melanoma,preferred_label,39353049
nitric oxide,preferred_label,nitric oxide,preferred_label,39353049
immunotherapies,preferred_label,immunotherapies,preferred_label,39353049
skin cancer,preferred_label,skin cancer,preferred_label,39353049
chemical no donors,preferred_label,chemical no donors,preferred_label,39353049
macromolecular no donor systems,preferred_label,macromolecular no donor systems,preferred_label,39353049
cyclodextrin,preferred_label,cyclodextrin,preferred_label,39353049
mesoporous silica nanoparticles,preferred_label,mesoporous silica nanoparticles,preferred_label,39353049
hyaluronic acid,preferred_label,hyaluronic acid,preferred_label,39353049
skin cells,preferred_label,skin cells,preferred_label,39353049
tumor growth,preferred_label,tumor growth,preferred_label,39353049
older adults,class_id,older adults,class_id,39357051
cancer treatment,class_id,cancer treatment,class_id,39357051
adverse events,class_id,adverse events,class_id,39357051
chemotherapy induced nausea and vomiting (CINV),class_id,chemotherapy induced nausea and vomiting (CINV),class_id,39357051
serious game (Managing at Home - MAH),class_id,serious game (Managing at Home - MAH),class_id,39357051
intervention group,class_id,intervention group,class_id,39357051
control group,class_id,control group,class_id,39357051
baseline (T1),class_id,baseline (T1),class_id,39357051
completion of the study (T6),class_id,completion of the study (T6),class_id,39357051
follow up visit (T2-T6),class_id,follow up visit (T2-T6),class_id,39357051
older adults receiving cancer-related chemotherapy,class_id,older adults receiving cancer-related chemotherapy,class_id,39357051
randomized clinical trial,class_id,randomized clinical trial,class_id,39357051
data collection and analysis,class_id,data collection and analysis,class_id,39357051
simulation and gaming technology,class_id,simulation and gaming technology,class_id,39357051
p glycoprotein,class_id,p glycoprotein,class_id,39356462
breast cancer resistance protein,class_id,breast cancer resistance protein,class_id,39356462
efflux transporters,preferred_label,efflux transporters,preferred_label,39356462
testis,preferred_label,testis,preferred_label,39356462
reproductive toxicity in males,preferred_label,reproductive toxicity in males,preferred_label,39356462
spermatogenesis,preferred_label,spermatogenesis,preferred_label,39356462
anti tumor agents,preferred_label,anti tumor agents,preferred_label,39356462
blood testis barrier,preferred_label,blood testis barrier,preferred_label,39356462
high dose methotrexate,drug,high dose methotrexate,drug,39356310
delayed methotrexate elimination,adverse event,delayed methotrexate elimination,adverse event,39356310
renal dysfunction,adverse event,renal dysfunction,adverse event,39356310
life threatening toxicity,adverse event,life threatening toxicity,adverse event,39356310
glucarpidase,drug,glucarpidase,drug,39356310
hyperhydration,supportive measure,hyperhydration,supportive measure,39356310
urine alkalinization,supportive measure,urine alkalinization,supportive measure,39356310
leucovorin rescue,treatment,leucovorin rescue,treatment,39356310
intensified hydration,treatment,intensified hydration,treatment,39356310
high dose leucovorin,treatment,high dose leucovorin,treatment,39356310
5 arylaminouracil derivatives,class_id,5 arylaminouracil derivatives,class_id,39355889
hiv 1,preferred_label,hiv 1,preferred_label,39355889
herpesviruses,preferred_label,herpesviruses,preferred_label,39355889
mycobacteria,preferred_label,mycobacteria,preferred_label,39355889
leukemia,preferred_label,leukemia,preferred_label,39355889
neuroblastoma,preferred_label,neuroblastoma,preferred_label,39355889
glial brain tumors,preferred_label,glial brain tumors,preferred_label,39355889
5 aminouracils,class_id,5 aminouracils,class_id,39355889
neuroblastoma cell lines,class_id,neuroblastoma cell lines,class_id,39355889
k 562 lymphoblastic cells,class_id,k 562 lymphoblastic cells,class_id,39355889
hl 60 promyeoloblastic cells,class_id,hl 60 promyeoloblastic cells,class_id,39355889
glioblastoma multiforme,preferred_label,glioblastoma multiforme,preferred_label,39355889
gbm5522,class_id,gbm5522,class_id,39355889
gbm6138,class_id,gbm6138,class_id,39355889
isopropylphenylamine uracil,class_id,isopropylphenylamine uracil,class_id,39355889
tert butylphenylamine uracil,class_id,tert butylphenylamine uracil,class_id,39355889
half maximal inhibitory concentrations (IC50),preferred_label,half maximal inhibitory concentrations (IC50),preferred_label,39355889
fluoropyrimidines,drug,fluoropyrimidines,drug,39350200
solid tumors,disease,solid tumors,disease,39350200
dihydropyrimidine dehydrogenase,enzyme,dihydropyrimidine dehydrogenase,enzyme,39350200
dpyd gene,gene,dpyd gene,gene,39350200
genetic mutations,mutation,genetic mutations,mutation,39350200
pyrimidine metabolism,metabolic process,pyrimidine metabolism,metabolic process,39350200
toxicity,adverse event outcome,toxicity,adverse event outcome,39350200
cancer patients,patient,cancer patients,patient,39350200
treatment related mortality,outcome,treatment related mortality,outcome,39350200
dpyd deficiency,mutation,dpyd deficiency,mutation,39350200
dpyd variants,mutation,dpyd variants,mutation,39350200
immune checkpoint inhibitors,preferred_label,immune checkpoint inhibitors,preferred_label,39348984
metastatic urothelial carcinoma,preferred_label,metastatic urothelial carcinoma,preferred_label,39348984
immune related adverse events,preferred_label,immune related adverse events,preferred_label,39348984
neutrophil to lymphocyte ratio,preferred_label,neutrophil to lymphocyte ratio,preferred_label,39348984
systemic immune inflammation index,preferred_label,systemic immune inflammation index,preferred_label,39348984
platelet to lymphocyte ratio,preferred_label,platelet to lymphocyte ratio,preferred_label,39348984
cisplatin,drug,cisplatin,drug,39348265
acute kidney injury,adverse event,acute kidney injury,adverse event,39348265
chemoradiotherapy,treatment,chemoradiotherapy,treatment,39348265
head and neck cancer,disease,head and neck cancer,disease,39348265
dual inhibition,preferred_label,dual inhibition,preferred_label,39343510
anti programmed death 1,preferred_label,anti programmed death 1,preferred_label,39343510
anti cytotoxic t lymphocyte antigen 4,preferred_label,anti cytotoxic t lymphocyte antigen 4,preferred_label,39343510
checkpoint inhibitors,preferred_label,checkpoint inhibitors,preferred_label,39343510
cancers,preferred_label,cancers,preferred_label,39343510
rare solid cancers,preferred_label,rare solid cancers,preferred_label,39343510
desmoid tumors,preferred_label,desmoid tumors,preferred_label,39343510
surgery,preferred_label,surgery,preferred_label,39343510
ipilimumab,preferred_label,ipilimumab,preferred_label,39343510
nivolumab,preferred_label,nivolumab,preferred_label,39343510
swog s1609,preferred_label,swog s1609,preferred_label,39343510
dart trial,preferred_label,dart trial,preferred_label,39343510
prospective open label multicenter,preferred_label,prospective open label multicenter,preferred_label,39343510
response evaluation criteria in solid tumors,preferred_label,response evaluation criteria in solid tumors,preferred_label,39343510
progression free survival,preferred_label,progression free survival,preferred_label,39343510
overall survival,preferred_label,overall survival,preferred_label,39343510
clinical benefit rate,preferred_label,clinical benefit rate,preferred_label,39343510
stable disease,preferred_label,stable disease,preferred_label,39343510
toxicity,preferred_label,toxicity,preferred_label,39343510
adverse events,preferred_label,adverse events,preferred_label,39343510
fatigue,preferred_label,fatigue,preferred_label,39343510
nausea,preferred_label,nausea,preferred_label,39343510
hypothyroidism,preferred_label,hypothyroidism,preferred_label,39343510
cervical cancer,preferred_label,cervical cancer,preferred_label,39342591
brachytherapy,preferred_label,brachytherapy,preferred_label,39342591
cisplatin,preferred_label,cisplatin,preferred_label,39342591
chemoradiation,preferred_label,chemoradiation,preferred_label,39342591
ebrt,preferred_label,ebrt,preferred_label,39342591
concomitant chemotherapy,preferred_label,concomitant chemotherapy,preferred_label,39342591
clinical trial,preferred_label,clinical trial,preferred_label,39342591
response rate,preferred_label,response rate,preferred_label,39342591
side effects,preferred_label,side effects,preferred_label,39342591
palbociclib,drug,palbociclib,drug,39342581
ribociclib,drug,ribociclib,drug,39342581
breast cancer,disease,breast cancer,disease,39342581
fulvestrant,drug,fulvestrant,drug,39342581
EORTC,organization,EORTC,organization,39342581
CTCAE,scale,CTCAE,scale,39342581
goserelin,drug,goserelin,drug,39342581
colorectal cancer,class_id,colorectal cancer,class_id,39339648
5-fluorouracil,preferred_label,5-fluorouracil,preferred_label,39339648
taurine,preferred_label,taurine,preferred_label,39339648
adenocarcinoma,preferred_label,adenocarcinoma,preferred_label,39339648
"1,2-dimethylhydrazine",preferred_label,"1,2-dimethylhydrazine",preferred_label,39339648
rats,preferred_label,rats,preferred_label,39339648
genes,preferred_label,genes,preferred_label,39339648
APC-catenin,preferred_label,APC-catenin,preferred_label,39339648
hepatocellular carcinoma,class_id,hepatocellular carcinoma,class_id,39339402
sorafenib,preferred_label,sorafenib,preferred_label,39339402
lenvatinib,preferred_label,lenvatinib,preferred_label,39339402
nanotechnology,preferred_label,nanotechnology,preferred_label,39339402
nanocarriers,preferred_label,nanocarriers,preferred_label,39339402
chemotherapeutic agents,preferred_label,chemotherapeutic agents,preferred_label,39339402
gene therapy,preferred_label,gene therapy,preferred_label,39339402
phototherapy,preferred_label,phototherapy,preferred_label,39339402
immunotherapy,preferred_label,immunotherapy,preferred_label,39339402
Immune checkpoint inhibitors,drug,Immune checkpoint inhibitors,drug,39334098
Proton pump inhibitors,drug,Proton pump inhibitors,drug,39334098
Concomitant treatment,procedure,Concomitant treatment,procedure,39334098
US Food and Drug Administration Adverse Event Reporting System,system,US Food and Drug Administration Adverse Event Reporting System,system,39334098
Congenital disorders,disease,Congenital disorders,disease,39334098
Familial disorders,disease,Familial disorders,disease,39334098
Genetic disorders,disease,Genetic disorders,disease,39334098
Hepatobiliary disorders,disease,Hepatobiliary disorders,disease,39334098
Metabolism disorders,disease,Metabolism disorders,disease,39334098
Nutrition disorders,disease,Nutrition disorders,disease,39334098
Skin disorders,disease,Skin disorders,disease,39334098
Subcutaneous tissue disorders,disease,Subcutaneous tissue disorders,disease,39334098
Programmed death 1,protein,Programmed death 1,protein,39334098
Programmed death ligand 1,protein,Programmed death ligand 1,protein,39334098
Cytotoxic T lymphocyte antigen 4,protein,Cytotoxic T lymphocyte antigen 4,protein,39334098
MedDRA query system organ class toxicities,system,MedDRA query system organ class toxicities,system,39334098
lenvatinib,drug,lenvatinib,drug,39333610
patients,class_id,patients,class_id,39333610
hepatocellular carcinoma,disease,hepatocellular carcinoma,disease,39333610
muscle loss,adverse event,muscle loss,adverse event,39333610
Germany,location,Germany,location,39333610
adc,drug,adc,drug,39333227
immune checkpoint inhibitors,drug,immune checkpoint inhibitors,drug,39333227
cancer,disease,cancer,disease,39333227
efficacy,outcome,efficacy,outcome,39333227
safety,outcome,safety,outcome,39333227
combination therapy,treatment,combination therapy,treatment,39333227
meta analysis,study type,meta analysis,study type,39333227
ORR,outcome measure,ORR,outcome measure,39333227
adverse effects,outcome measure,adverse effects,outcome measure,39333227
Hodgkin lymphoma,disease,Hodgkin lymphoma,disease,39333227
Non-Hodgkin lymphoma,disease,Non-Hodgkin lymphoma,disease,39333227
peripheral neuropathy,adverse event,peripheral neuropathy,adverse event,39333227
skin adverse effects,adverse event,skin adverse effects,adverse event,39333227
digestive system adverse effects,adverse event,digestive system adverse effects,adverse event,39333227
egfr targeted therapies,drug,egfr targeted therapies,drug,39330834
urokinase type plasminogen activator receptor (upar) targeted drugs,drug,urokinase type plasminogen activator receptor (upar) targeted drugs,drug,39330834
recombinant ebat,drug,recombinant ebat,drug,39330834
cytokines egf,drug,cytokines egf,drug,39330834
upar knockout mice,class_id,upar knockout mice,class_id,39330834
immunocompetent mice,class_id,immunocompetent mice,class_id,39330834
tumor bearing mice,class_id,tumor bearing mice,class_id,39330834
dogs with spontaneous sarcoma,class_id,dogs with spontaneous sarcoma,class_id,39330834
individuals with sarcoma,class_id,individuals with sarcoma,class_id,39330834
other cancers,class_id,other cancers,class_id,39330834
surufatinib,preferred_label,surufatinib,preferred_label,39327433
antiangiogenic therapy,semantic_types,antiangiogenic therapy,semantic_types,39327433
toripalimab,preferred_label,toripalimab,preferred_label,39327433
etoposide,preferred_label,etoposide,preferred_label,39327433
cisplatin,preferred_label,cisplatin,preferred_label,39327433
small cell lung cancer,semantic_types,small cell lung cancer,semantic_types,39327433
progression free survival,preferred_label,progression free survival,preferred_label,39327433
objective response rate,preferred_label,objective response rate,preferred_label,39327433
disease control rate,preferred_label,disease control rate,preferred_label,39327433
overall survival,preferred_label,overall survival,preferred_label,39327433
adverse events,semantic_types,adverse events,semantic_types,39327433
neutrophil count decreased,preferred_label,neutrophil count decreased,preferred_label,39327433
white blood cell count decreased,preferred_label,white blood cell count decreased,preferred_label,39327433
platelet count decreased,preferred_label,platelet count decreased,preferred_label,39327433
chromosomal aberrations,preferred_label,chromosomal aberrations,preferred_label,39326941
bleomycin,preferred_label,bleomycin,preferred_label,39326941
human lymphoblastoid cells,preferred_label,human lymphoblastoid cells,preferred_label,39326941
epstein barr virus,preferred_label,epstein barr virus,preferred_label,39326941
t 37,preferred_label,t 37,preferred_label,39326941
acentric fragments,preferred_label,acentric fragments,preferred_label,39326941
interstitial deletions,preferred_label,interstitial deletions,preferred_label,39326941
incomplete chromosomes,preferred_label,incomplete chromosomes,preferred_label,39326941
nqbio 06,synthetic carboline alkaloid,nqbio 06,synthetic carboline alkaloid,39326936
nqbio 21,synthetic carboline alkaloid,nqbio 21,synthetic carboline alkaloid,39326936
ovarian cancer cell line tov 21 g,cancer cell line,ovarian cancer cell line tov 21 g,cancer cell line,39326936
MDA-MB-231 breast cancer cells,cancer cell line,MDA-MB-231 breast cancer cells,cancer cell line,39326936
chromosomal breaks,genotoxic effect,chromosomal breaks,genotoxic effect,39326936
micronucleus assay,mutagenic effect,micronucleus assay,mutagenic effect,39326936
lipinski's rules,criteria for drug-likeness,lipinski's rules,criteria for drug-likeness,39326936
intestinal absorption,ADME parameter,intestinal absorption,ADME parameter,39326936
p-glycoprotein,transporter protein,p-glycoprotein,transporter protein,39326936
amivantamab,preferred_label,amivantamab,preferred_label,39324708
epidermal growth factor receptor,preferred_label,epidermal growth factor receptor,preferred_label,39324708
met,preferred_label,met,preferred_label,39324708
non small cell lung cancer,preferred_label,non small cell lung cancer,preferred_label,39324708
cutaneous toxicities,preferred_label,cutaneous toxicities,preferred_label,39324708
egfr inhibition,preferred_label,egfr inhibition,preferred_label,39324708
rash,preferred_label,rash,preferred_label,39324708
paronychia,preferred_label,paronychia,preferred_label,39324708
dermatitis acneiform,preferred_label,dermatitis acneiform,preferred_label,39324708
nurses,preferred_label,nurses,preferred_label,39324708
advanced practice providers,preferred_label,advanced practice providers,preferred_label,39324708
physicians,preferred_label,physicians,preferred_label,39324708
comedications,preferred_label,comedications,preferred_label,39324708
immune checkpoint inhibitors,preferred_label,immune checkpoint inhibitors,preferred_label,39320566
melanoma,preferred_label,melanoma,preferred_label,39320566
lung cancer,preferred_label,lung cancer,preferred_label,39320566
patients,preferred_label,patients,preferred_label,39320566
caregivers,preferred_label,caregivers,preferred_label,39320566
side effects,preferred_label,side effects,preferred_label,39320566
oncologist,preferred_label,oncologist,preferred_label,39320566
tyrosine kinase inhibitors,drug,tyrosine kinase inhibitors,drug,39318033
cardiac side effects,adverse event,cardiac side effects,adverse event,39318033
extracellular vesicles,preferred_label,extracellular vesicles,preferred_label,39316382
bleb nanovesicles,preferred_label,bleb nanovesicles,preferred_label,39316382
human fc receptor i (hcd64),preferred_label,human fc receptor i (hcd64),preferred_label,39316382
monomeric igg,preferred_label,monomeric igg,preferred_label,39316382
prostate cancer,preferred_label,prostate cancer,preferred_label,39316382
prostate specific membrane antigen (psma),preferred_label,prostate specific membrane antigen (psma),preferred_label,39316382
osteosarcoma,class_id,osteosarcoma,class_id,39315544
gemcitabine and docetaxel combination chemotherapy,preferred_label,gemcitabine and docetaxel combination chemotherapy,preferred_label,39315544
gemdox,synonyms,gemdox,synonyms,39315544
mg 63,class_id,mg 63,class_id,39315544
hos 143b,class_id,hos 143b,class_id,39315544
neutropenia,preferred_label,neutropenia,preferred_label,39315544
thrombocytopenia,preferred_label,thrombocytopenia,preferred_label,39315544
anaemia,preferred_label,anaemia,preferred_label,39315544
cisplatin resistant models,preferred_label,cisplatin resistant models,preferred_label,39315544
doxorubicin,preferred_label,doxorubicin,preferred_label,39315544
methotrexate,preferred_label,methotrexate,preferred_label,39315544
clinical trials,preferred_label,clinical trials,preferred_label,39315544
immune checkpoint inhibitors,preferred_label,immune checkpoint inhibitors,preferred_label,39311981
anti cytotoxic t lymphocyte associated protein 4,preferred_label,anti cytotoxic t lymphocyte associated protein 4,preferred_label,39311981
anti programmed cell death 1 programmed cell death ligand 1,preferred_label,anti programmed cell death 1 programmed cell death ligand 1,preferred_label,39311981
gastrointestinal immune related adverse events,preferred_label,gastrointestinal immune related adverse events,preferred_label,39311981
diarrhea,preferred_label,diarrhea,preferred_label,39311981
colitis,preferred_label,colitis,preferred_label,39311981
immune mediated diarrhea and colitis,preferred_label,immune mediated diarrhea and colitis,preferred_label,39311981
imdc,preferred_label,imdc,preferred_label,39311981
baseline gut microbiota,preferred_label,baseline gut microbiota,preferred_label,39311981
inflammatory bowel disease,preferred_label,inflammatory bowel disease,preferred_label,39311981
corticosteroids,preferred_label,corticosteroids,preferred_label,39311981
infliximab,preferred_label,infliximab,preferred_label,39311981
vedolizumab,preferred_label,vedolizumab,preferred_label,39311981
microbiota transplantation,preferred_label,microbiota transplantation,preferred_label,39311981
cytokines,preferred_label,cytokines,preferred_label,39311981
lymphocyte replication inhibitors,preferred_label,lymphocyte replication inhibitors,preferred_label,39311981
nanotechnology,preferred_label,nanotechnology,preferred_label,39308042
cancer treatments,preferred_label,cancer treatments,preferred_label,39308042
chemotherapy resistance,preferred_label,chemotherapy resistance,preferred_label,39308042
toxic drugs,preferred_label,toxic drugs,preferred_label,39308042
silver nanoparticles,preferred_label,silver nanoparticles,preferred_label,39308042
agnps,synonyms,agnps,synonyms,39308042
antimicrobial properties,preferred_label,antimicrobial properties,preferred_label,39308042
antiproliferative properties,preferred_label,antiproliferative properties,preferred_label,39308042
nanotoxicological assessment,preferred_label,nanotoxicological assessment,preferred_label,39308042
tamoxifen,preferred_label,tamoxifen,preferred_label,39308042
mcf 7,preferred_label,mcf 7,preferred_label,39308042
mda mb 231,preferred_label,mda mb 231,preferred_label,39308042
breast tumor cells,preferred_label,breast tumor cells,preferred_label,39308042
compusyn software,preferred_label,compusyn software,preferred_label,39308042
combination index,preferred_label,combination index,preferred_label,39308042
cytotoxic effect,preferred_label,cytotoxic effect,preferred_label,39308042
antiproliferative effect,preferred_label,antiproliferative effect,preferred_label,39308042
cell migration,preferred_label,cell migration,preferred_label,39308042
reactive oxygen species production,preferred_label,reactive oxygen species production,preferred_label,39308042
genotoxic effect,preferred_label,genotoxic effect,preferred_label,39308042
proapoptotic gene expression,preferred_label,proapoptotic gene expression,preferred_label,39308042
oxidative stress gene expression,preferred_label,oxidative stress gene expression,preferred_label,39308042
internalization,preferred_label,internalization,preferred_label,39308042
breast cancer cells,preferred_label,breast cancer cells,preferred_label,39308042
chemotherapeutic agents,preferred_label,chemotherapeutic agents,preferred_label,39308042
oncology therapy,preferred_label,oncology therapy,preferred_label,39308042
selinexor,drug,selinexor,drug,39307725
venetoclax,drug,venetoclax,drug,39307725
azactitidine,drug,azactitidine,drug,39307725
acute myeloid leukemia,disease,acute myeloid leukemia,disease,39307725
complete remission,clinical outcome,complete remission,clinical outcome,39307725
partial remission,clinical outcome,partial remission,clinical outcome,39307725
hematological toxicity,adverse event,hematological toxicity,adverse event,39307725
malignant tumors,class_id,malignant tumors,class_id,39307710
cancer patients,class_id,cancer patients,class_id,39307710
cardiovascular toxicity,class_id,cardiovascular toxicity,class_id,39307710
cardio oncology,class_id,cardio oncology,class_id,39307710
cardiac biomarkers,class_id,cardiac biomarkers,class_id,39307710
cardiovascular diseases,class_id,cardiovascular diseases,class_id,39307710
